0.00E+00							0.00E+00
6.00E+00							-0.00E+00
1.10E+01							-0.00E+00
1.60E+01							-0.00E+00
2.10E+01							-0.00E+00
2.70E+01							-0.00E+00
3.20E+01							-0.00E+00
3.70E+01							-0.00E+00
4.20E+01							-0.00E+00
4.80E+01							-0.00E+00
5.30E+01							-0.00E+00
5.80E+01							-0.00E+00
6.40E+01							-0.00E+00
6.90E+01							-0.00E+00
7.40E+01							-0.00E+00
7.90E+01							-0.00E+00
8.50E+01							-0.00E+00
9.00E+01							-0.00E+00
9.60E+01							-0.00E+00
1.02E+02							-0.00E+00
1.07E+02							-0.00E+00
1.12E+02							-0.00E+00
1.17E+02							-0.00E+00
1.22E+02							-0.00E+00
1.27E+02							-0.00E+00
1.33E+02							-0.00E+00
1.38E+02							-0.00E+00
1.44E+02							-0.00E+00
1.49E+02							-0.00E+00
1.55E+02							-0.00E+00
1.60E+02							-0.00E+00
1.65E+02							-0.00E+00
1.71E+02							-0.00E+00
1.77E+02							-0.00E+00
1.82E+02							-0.00E+00
1.87E+02							-0.00E+00
1.92E+02							-0.00E+00
1.98E+02							-0.00E+00
2.03E+02							-0.00E+00
2.08E+02							-1.84E-06
2.13E+02							-3.36E-06
2.18E+02							-2.84E-06
2.24E+02							-1.60E-06
2.29E+02							-4.44E-06
2.34E+02							-3.88E-06
2.39E+02							-3.08E-06
2.45E+02							-3.23E-06
2.50E+02							-5.52E-06
2.55E+02							-4.08E-06
2.61E+02							-4.57E-06
2.66E+02							-4.76E-06
2.71E+02							-5.16E-06
2.77E+02							-3.37E-06
2.82E+02							-6.08E-06
2.87E+02							-6.00E-06
2.93E+02							-5.60E-06
2.98E+02							-6.64E-06
3.04E+02							-5.27E-06
3.09E+02							-6.24E-06
3.14E+02							-5.24E-06
3.20E+02							-5.87E-06
3.25E+02							-7.52E-06
3.30E+02							-4.72E-06
3.35E+02							-7.40E-06
3.41E+02							-5.97E-06
3.47E+02							-5.87E-06
3.52E+02							-7.92E-06
3.57E+02							-6.68E-06
3.62E+02							-7.72E-06
3.67E+02							-8.92E-06
3.73E+02							-3.80E-06
3.78E+02							-9.44E-06
3.84E+02							-5.43E-06
3.90E+02							-4.93E-06
3.95E+02							-8.12E-06
4.00E+02							-7.24E-06
4.06E+02							-6.07E-06
4.11E+02							-7.52E-06
4.16E+02							-5.92E-06
4.21E+02							-8.68E-06
4.27E+02							-6.80E-06
4.32E+02							-6.44E-06
4.37E+02							-7.28E-06
4.42E+02							-7.48E-06
4.48E+02							-7.27E-06
4.53E+02							-7.04E-06
4.58E+02							-7.64E-06
4.63E+02							-8.64E-06
4.69E+02							-5.43E-06
4.74E+02							-7.84E-06
